Frecuencia,Glifo Poli Ag D 0.1v2,Glifo Poli Ag D 0.08v2,Glifo Poli Ag D 0.04v2,Glifo Poli Ag D 0.02v2,Glifo Poli Ag D 0.01v2,Poli Ag D Agua V2,KCl Poli Ag D 0.1v2,KCl Poli Ag D 0.08v2,KCl Poli Ag D 0.04v2,KCl Poli Ag D 0.02v2,KCl Poli Ag D 0.01v2
300000,-12.89315,-12.0146,-5.97928,-3.03886,-1.55245,0.49985,-23.26938,-17.18667,-7.32578,-3.35625,-1.38565
1700110,-13.61609,-12.65465,-6.30817,-3.30696,-1.85888,0.1738,-31.58552,-19.94458,-7.75541,-3.65051,-1.66762
3100220,-13.77256,-12.7448,-6.37285,-3.3744,-1.91953,0.10189,-31.80176,-20.27882,-7.84214,-3.70895,-1.73524
4500330,-13.74865,-12.77049,-6.38177,-3.37529,-1.9651,0.06389,-31.22355,-20.35018,-7.85447,-3.75079,-1.77451
5900440,-13.78471,-12.76089,-6.40277,-3.403,-1.98613,0.04999,-30.80263,-20.17822,-7.84297,-3.76051,-1.79645
7300550,-13.7944,-12.80079,-6.40634,-3.41587,-2.00226,0.03638,-30.05995,-20.22753,-7.88111,-3.76786,-1.78722
8700660,-13.77658,-12.76253,-6.41981,-3.4383,-2.02264,0.01162,-29.31885,-20.07024,-7.87133,-3.77997,-1.82057
10100800,-13.74438,-12.72809,-6.4178,-3.45011,-2.03955,-6.47E-04,-28.66429,-19.96993,-7.86606,-3.79175,-1.83572
11500900,-13.69121,-12.69965,-6.41745,-3.45174,-2.04005,0.00499,-27.78072,-19.82139,-7.85492,-3.7864,-1.8346
12901000,-13.6262,-12.65099,-6.40451,-3.44796,-2.0528,-0.00121,-27.14083,-19.64562,-7.85022,-3.78925,-1.84057
14301100,-13.59471,-12.61743,-6.40226,-3.44773,-2.05393,-0.00236,-26.39417,-19.40953,-7.82484,-3.77968,-1.83263
15701200,-13.52325,-12.57957,-6.40081,-3.45062,-2.05565,0.00579,-25.7414,-19.22967,-7.80678,-3.77632,-1.83393
17101300,-13.46845,-12.5246,-6.37747,-3.45077,-2.05873,-0.00744,-25.13382,-19.06425,-7.79889,-3.78225,-1.84616
18501400,-13.40593,-12.46567,-6.37882,-3.45655,-2.07308,-0.01498,-24.53965,-18.81724,-7.77818,-3.78139,-1.84752
19901500,-13.33485,-12.4229,-6.3663,-3.457,-2.08279,-0.02633,-23.98877,-18.60347,-7.7551,-3.78165,-1.85357
21301700,-13.2517,-12.35929,-6.36455,-3.46345,-2.0859,-0.03251,-23.43554,-18.38939,-7.73387,-3.77985,-1.86099
22701800,-13.16215,-12.2937,-6.34316,-3.45252,-2.08179,-0.02678,-22.96328,-18.20553,-7.72294,-3.78069,-1.86235
24101900,-13.09568,-12.23324,-6.33563,-3.45275,-2.08455,-0.02891,-22.4938,-17.97666,-7.69083,-3.77099,-1.85939
25502000,-13.00946,-12.15608,-6.30848,-3.44579,-2.08094,-0.02841,-22.03542,-17.7597,-7.67211,-3.77092,-1.85992
26902100,-12.91786,-12.09166,-6.30115,-3.447,-2.07993,-0.03468,-21.53908,-17.51213,-7.64258,-3.76294,-1.8581
28302200,-12.84542,-12.04389,-6.29525,-3.44619,-2.08703,-0.04211,-21.14312,-17.28751,-7.61697,-3.75322,-1.86014
