Frecuencia,Glifo Poli Cu D 0.1v2,Glifo Poli Cu D 0.08v2,Glifo Poli Cu D 0.04v2,Glifo Poli Cu D 0.02v2,Glifo Poli Cu D 0.01v2,Poli Cu D Agua V2,KCl Poli Cu D 0.1v2,KCl Poli Cu D 0.08v2,KCl Poli Cu D 0.04v2,KCl Poli Cu D 0.02v2,KCl Poli Cu D 0.01v2
300000,-12.70418,-11.17261,-5.73371,-2.7621,-1.42429,0.51161,-16.52469,-11.26501,-5.3118,-2.50359,-1.03694
1.70E+06,-13.10278,-11.38405,-5.97448,-3.0302,-1.71996,0.17415,-19.54869,-13.46258,-6.19856,-3.0812,-1.46303
3.10E+06,-13.17972,-11.47311,-6.03293,-3.07999,-1.77536,0.11291,-20.13071,-13.8671,-6.3512,-3.16713,-1.53416
4.50E+06,-13.16646,-11.44392,-6.04647,-3.10904,-1.80492,0.06796,-20.63362,-14.14584,-6.45225,-3.22717,-1.56401
5.90E+06,-13.20233,-11.47207,-6.06408,-3.11884,-1.83188,0.05017,-20.65549,-14.22349,-6.48021,-3.24572,-1.59046
7.30E+06,-13.18507,-11.48362,-6.07933,-3.13352,-1.84918,0.03666,-20.67135,-14.36872,-6.53878,-3.27673,-1.61796
8.70E+06,-13.15909,-11.46852,-6.07819,-3.14607,-1.86235,0.02262,-20.55454,-14.35445,-6.55678,-3.2932,-1.62923
1.01E+07,-13.13517,-11.46028,-6.08519,-3.16141,-1.87931,0.0108,-20.54194,-14.38225,-6.58542,-3.30582,-1.64703
1.15E+07,-13.10429,-11.43364,-6.0807,-3.16062,-1.87805,0.01396,-20.44452,-14.41721,-6.58189,-3.31678,-1.64889
1.29E+07,-13.06589,-11.38599,-6.07734,-3.16526,-1.88131,0.01089,-20.27336,-14.39345,-6.58533,-3.3136,-1.64966
1.43E+07,-13.0159,-11.36806,-6.06485,-3.15983,-1.8847,0.00968,-20.09787,-14.36,-6.57029,-3.3094,-1.64688
1.57E+07,-12.97897,-11.33625,-6.06125,-3.1584,-1.88267,0.01366,-19.94195,-14.32521,-6.57691,-3.31214,-1.65073
